Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
5.75,5.75,142.23%,0.5080,0.0266,-1.5028,0.0421,11/05/25,143.00,5.85,5.85,132.92%,-0.4944,0.0285,-1.3909,0.0421,11/05/25
5.18,5.18,139.44%,0.4804,0.0271,-1.4716,0.0420,11/05/25,144.00,6.38,6.38,132.50%,-0.5229,0.0285,-1.3839,0.0420,11/05/25
4.77,4.77,139.83%,0.4540,0.0269,-1.4673,0.0418,11/05/25,145.00,6.75,6.75,127.57%,-0.5544,0.0294,-1.3215,0.0417,11/05/25
4.31,4.31,138.39%,0.4266,0.0269,-1.4369,0.0414,11/05/25,146.00,7.51,7.51,131.33%,-0.5796,0.0282,-1.3455,0.0412,11/05/25
3.95,3.95,138.73%,0.4010,0.0264,-1.4197,0.0408,11/05/25,147.00,8.25,8.25,134.03%,-0.6040,0.0273,-1.3530,0.0406,11/05/25
3.55,3.55,137.47%,0.3742,0.0261,-1.3788,0.0400,11/05/25,148.00,8.67,8.67,128.13%,-0.6375,0.0278,-1.2578,0.0395,11/05/25
3.25,3.25,138.09%,0.3503,0.0254,-1.3539,0.0391,11/05/25,149.00,9.41,9.41,129.55%,-0.6617,0.0268,-1.2398,0.0386,11/05/25
2.86,2.86,135.76%,0.3229,0.0251,-1.2895,0.0379,11/05/25,150.00,10.00,10.00,126.39%,-0.6920,0.0264,-1.1625,0.0371,11/05/25
2.16,2.16,134.35%,0.2638,0.0231,-1.1614,0.0345,11/05/25,152.50,11.97,11.97,129.02%,-0.7462,0.0236,-1.0792,0.0338,11/05/25
1.65,1.65,134.70%,0.2139,0.0205,-1.0378,0.0307,11/05/25,155.00,14.00,14.00,130.02%,-0.7956,0.0207,-0.9614,0.0299,11/05/25
1.20,1.20,133.34%,0.1675,0.0178,-0.8837,0.0264,11/05/25,157.50,15.13,15.13,76.49%,-0.9600,0.0108,-0.1640,0.0091,11/05/25
0.91,0.91,134.54%,0.1329,0.0151,-0.7639,0.0227,11/05/25,160.00,17.26,18.45,136.61%,-0.8635,0.0152,-0.7765,0.0231,11/05/25
0.68,0.68,135.42%,0.1039,0.0126,-0.6460,0.0190,11/05/25,162.50,19.50,20.48,124.13%,-0.9172,0.0117,-0.4880,0.0161,11/05/25
"Downloaded from Barchart.com as of 11-06-2025 08:41am CST"
