Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,22.45,21.50,23.20,+4.15,"1,416","51,641",133.73%,11/19/25,165.00,Put,0.71,0.70,0.72,-0.74,"33,013","58,601",125.60%,11/19/25
Call,20.37,19.25,20.75,+4.37,670,793,136.74%,11/19/25,167.50,Put,0.96,0.95,0.96,-0.97,"17,260","9,026",124.02%,11/19/25
Call,18.01,18.00,18.50,+4.11,"6,047","48,737",127.94%,11/19/25,170.00,Put,1.30,1.28,1.29,-1.25,"69,880","87,303",122.60%,11/19/25
Call,15.97,14.25,16.15,+3.63,"2,354","1,556",127.13%,11/19/25,172.50,Put,1.71,1.70,1.72,-1.59,"33,992","22,001",121.58%,11/19/25
Call,14.02,14.00,14.30,+3.47,"5,758","24,816",125.97%,11/19/25,175.00,Put,2.25,2.25,2.28,-1.90,"45,721","57,152",120.84%,11/19/25
Call,12.30,12.20,12.45,+3.07,"3,013","3,313",127.32%,11/19/25,177.50,Put,2.97,2.92,2.96,-2.13,"19,866","16,723",120.76%,11/19/25
Call,10.60,10.50,10.70,+3.00,"23,572","143,606",126.20%,11/19/25,180.00,Put,3.74,3.70,3.80,-2.52,"69,136","83,069",120.14%,11/19/25
Call,8.98,9.00,9.15,+2.54,"13,556","12,824",125.89%,11/19/25,182.50,Put,4.71,4.65,4.75,-2.79,"27,958","17,486",120.05%,11/19/25
Call,7.65,7.55,7.70,+2.30,"85,508","52,680",124.79%,11/19/25,185.00,Put,5.80,5.75,5.85,-3.05,"57,297","63,236",119.42%,11/19/25
Call,6.40,6.35,6.45,+2.00,"51,359","16,689",124.28%,11/19/25,187.50,Put,7.06,6.95,7.10,-3.30,"17,004","21,395",119.14%,11/19/25
Call,5.25,5.20,5.30,+1.70,"108,390","82,284",122.96%,11/19/25,190.00,Put,8.41,8.30,8.50,-3.54,"11,161","40,546",117.76%,11/19/25
Call,4.25,4.25,4.35,+1.45,"28,672","33,635",121.78%,11/19/25,192.50,Put,10.15,9.75,10.05,-3.60,"3,236","12,124",116.20%,11/19/25
Call,3.47,3.40,3.50,+1.27,"107,840","88,876",122.25%,11/19/25,195.00,Put,11.70,11.40,11.70,-3.90,"6,262","24,179",117.96%,11/19/25
Call,2.72,2.72,2.78,+0.97,"40,632","39,313",120.77%,11/19/25,197.50,Put,13.38,13.15,13.55,-3.92,"2,453","6,580",114.57%,11/19/25
Call,2.14,2.14,2.16,+0.82,"175,435","157,082",120.41%,11/19/25,200.00,Put,15.45,14.10,15.45,-4.00,"5,569","23,043",117.20%,11/19/25
Call,1.68,1.65,1.69,+0.67,"33,005","44,995",120.52%,11/19/25,202.50,Put,17.45,15.85,18.55,-4.30,351,"2,290",115.80%,11/19/25
Call,1.27,1.26,1.29,+0.49,"84,116","110,257",119.53%,11/19/25,205.00,Put,19.50,18.35,21.05,-4.42,"1,218","6,864",112.73%,11/19/25
Call,0.98,0.95,0.98,+0.38,"54,187","58,462",119.84%,11/19/25,207.50,Put,21.15,20.85,22.90,-5.15,114,"1,317",82.56%,11/19/25
Call,0.74,0.72,0.74,+0.28,"105,477","94,307",119.74%,11/19/25,210.00,Put,23.79,23.05,25.35,-5.35,318,"11,304",100.01%,11/19/25
Call,0.54,0.53,0.55,+0.18,"15,060","14,395",119.00%,11/19/25,212.50,Put,26.50,25.55,27.50,-3.95,37,"7,337",119.67%,11/19/25
Call,0.39,0.39,0.40,+0.11,"33,286","28,843",118.40%,11/19/25,215.00,Put,28.38,27.90,29.15,-4.46,107,"2,209",88.12%,11/19/25
Call,0.31,0.30,0.31,+0.07,"10,754","6,561",120.31%,11/19/25,217.50,Put,30.73,30.40,32.50,-2.68,68,145,132.76%,11/19/25
Call,0.24,0.23,0.24,+0.06,"49,192","68,173",121.58%,11/19/25,220.00,Put,33.45,32.10,35.35,-5.41,112,"1,600",124.67%,11/19/25
Call,0.17,0.17,0.18,+0.01,"5,497","8,878",121.09%,11/19/25,222.50,Put,36.75,35.05,37.55,-2.67,1,120,163.86%,11/19/25
Call,0.15,0.13,0.15,+0.02,"18,365","20,094",124.92%,11/19/25,225.00,Put,37.99,34.95,39.30,-4.71,112,790,0.00%,11/19/25
Call,0.11,0.09,0.11,+0.01,"7,906","4,667",125.15%,11/19/25,227.50,Put,41.00,37.45,45.00,+0.86,8,119,109.89%,11/19/25
Call,0.09,0.09,0.10,-0.01,"13,269","33,242",127.34%,11/19/25,230.00,Put,43.50,42.50,45.15,-4.40,10,"1,131",115.17%,11/19/25
Call,0.07,0.07,0.08,unch,"2,687","7,730",128.59%,11/19/25,232.50,Put,50.11,42.60,50.00,unch,0,79,164.37%,11/18/25
Call,0.07,0.06,0.07,unch,"3,931","7,188",133.93%,11/19/25,235.00,Put,48.08,44.90,52.45,-1.87,72,164,158.34%,11/19/25
"Downloaded from Barchart.com as of 11-19-2025 06:53pm CST"
