Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
1.27,1.27,119.53%,0.1536,0.0144,-0.9800,0.0327,11/19/25,205.00,19.50,19.50,112.73%,-0.8622,0.0142,-0.8422,0.0304,11/19/25
0.98,0.98,119.84%,0.1240,0.0124,-0.8493,0.0283,11/19/25,207.50,21.15,21.15,82.56%,-0.9575,0.0080,-0.2451,0.0125,11/19/25
0.74,0.74,119.74%,0.0983,0.0105,-0.7183,0.0239,11/19/25,210.00,23.79,23.79,100.01%,-0.9416,0.0094,-0.3884,0.0161,11/19/25
0.54,0.54,119.00%,0.0758,0.0087,-0.5875,0.0197,11/19/25,212.50,26.50,26.50,119.67%,-0.9236,0.0087,-0.5782,0.0198,11/19/25
0.39,0.39,118.40%,0.0576,0.0071,-0.4728,0.0159,11/19/25,215.00,28.38,28.53,88.12%,-0.9853,0.0031,-0.1026,0.0051,11/19/25
0.31,0.31,120.31%,0.0466,0.0059,-0.4059,0.0135,11/19/25,217.50,30.73,31.45,132.76%,-0.9354,0.0069,-0.5636,0.0174,11/19/25
0.24,0.24,121.58%,0.0370,0.0048,-0.3399,0.0112,11/19/25,220.00,33.45,33.73,124.67%,-0.9599,0.0051,-0.3574,0.0119,11/19/25
0.17,0.17,121.09%,0.0274,0.0038,-0.2642,0.0087,11/19/25,222.50,36.75,36.75,163.86%,-0.9184,0.0067,-0.8374,0.0208,11/19/25
0.15,0.15,124.92%,0.0239,0.0033,-0.2429,0.0078,11/19/25,225.00,37.99,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,11/19/25
0.11,0.11,125.15%,0.0181,0.0026,-0.1923,0.0061,11/19/25,227.50,41.00,41.00,109.89%,-0.9933,0.0013,-0.0626,0.0025,11/19/25
0.09,0.09,127.34%,0.0149,0.0021,-0.1656,0.0052,11/19/25,230.00,43.50,43.50,115.17%,-0.9936,0.0012,-0.0634,0.0025,11/19/25
0.07,0.07,128.59%,0.0118,0.0017,-0.1365,0.0042,11/19/25,232.50,50.11,46.30,164.37%,-0.9604,0.0038,-0.4701,0.0118,11/18/25
0.07,0.07,133.93%,0.0114,0.0016,-0.1378,0.0041,11/19/25,235.00,48.08,48.68,158.34%,-0.9726,0.0029,-0.3304,0.0087,11/19/25
"Downloaded from Barchart.com as of 11-19-2025 06:53pm CST"
