Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,4.95,4.80,5.30,+1.93,"6,957","4,660",95.67%,11/05/25,180.00,Put,5.75,5.50,5.90,-4.46,"4,857","1,672",105.81%,11/05/25
Call,4.10,3.80,4.10,+1.62,"5,828","2,215",100.41%,11/05/25,182.50,Put,6.85,6.70,7.55,-4.15,"1,175",923,100.18%,11/05/25
Call,3.15,3.00,3.30,+1.27,"5,438","3,409",99.87%,11/05/25,185.00,Put,8.65,8.50,9.55,-3.70,627,814,104.63%,11/05/25
Call,2.61,2.27,2.78,+1.22,"4,542","2,084",104.53%,11/05/25,187.50,Put,9.40,9.70,11.85,-5.05,29,340,113.07%,11/05/25
Call,2.00,1.85,2.09,+0.91,"8,943","4,377",104.96%,11/05/25,190.00,Put,12.30,12.40,13.00,-5.85,246,507,115.11%,11/05/25
Call,1.58,1.46,1.66,+0.68,"5,523","2,153",107.18%,11/05/25,192.50,Put,12.53,14.40,15.70,-7.05,8,146,124.97%,11/05/25
Call,1.15,1.15,1.30,+0.50,"3,833","1,398",106.44%,11/05/25,195.00,Put,15.74,14.70,18.45,-5.16,104,575,82.22%,11/05/25
Call,0.97,0.91,1.05,+0.47,"2,419",623,111.11%,11/05/25,197.50,Put,16.58,17.55,19.50,+0.45,3,2,103.58%,11/05/25
Call,0.78,0.75,0.82,+0.43,"11,702","4,519",113.90%,11/05/25,200.00,Put,18.93,21.00,22.90,-7.70,5,337,144.41%,11/05/25
Call,0.65,0.56,0.69,+0.21,"1,082",356,117.58%,11/05/25,202.50,Put,20.14,21.50,24.80,+20.14,4,0,104.16%,11/05/25
Call,0.49,0.42,0.56,+0.25,"3,532","1,618",118.28%,11/05/25,205.00,Put,28.25,24.50,26.90,-0.60,51,48,115.34%,11/05/25
Call,0.46,0.38,0.66,+0.32,"1,092",180,124.76%,11/05/25,207.50,Put,25.65,26.50,30.45,unch,3,0,138.03%,11/05/25
Call,0.33,0.30,0.37,+0.18,"5,824","3,344",124.01%,11/05/25,210.00,Put,28.05,28.65,32.60,+28.05,3,50,126.37%,11/05/25
Call,0.27,0.21,0.45,+0.08,466,72,126.58%,11/05/25,212.50,Put,34.70,31.10,35.10,unch,0,1,132.03%,10/30/25
Call,0.30,0.23,0.33,+0.12,"2,934","1,473",136.22%,11/05/25,215.00,Put,38.13,33.55,37.70,+0.02,2,103,141.23%,11/05/25
Call,0.18,0.02,0.30,-0.08,134,211,131.24%,11/05/25,217.50,Put,0.00,36.05,40.00,unch,0,0,139.89%,N/A
Call,0.18,0.17,0.24,+0.09,"2,660","2,532",137.69%,11/05/25,220.00,Put,38.22,40.20,41.50,+0.07,25,9,171.07%,11/05/25
Call,0.15,0.10,0.16,unch,113,4,140.02%,11/05/25,222.50,Put,0.00,41.00,44.35,unch,0,0,0.00%,N/A
Call,0.10,0.12,0.13,-0.05,"1,046",978,142.24%,11/05/25,225.00,Put,0.00,45.15,46.45,unch,0,0,182.30%,N/A
Call,0.11,0.09,0.13,-0.15,247,11,145.46%,11/05/25,227.50,Put,0.00,46.00,48.80,unch,0,0,0.00%,N/A
"Downloaded from Barchart.com as of 11-05-2025 11:04pm CST"
