Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
62.14,60.80,17.03%,0.6981,0.0040,-8.0256,1.7673,"10:30 ET","6,805.00",15.10,15.30,16.22%,-0.2939,0.0042,-6.8849,1.7457,"10:30 ET"
58.07,57.00,16.82%,0.6795,0.0042,-8.1143,1.8137,"10:28 ET","6,810.00",15.90,16.50,16.03%,-0.3134,0.0044,-6.9925,1.7964,"10:24 ET"
53.92,53.25,16.59%,0.6602,0.0044,-8.1749,1.8569,"10:25 ET","6,815.00",16.89,17.80,15.84%,-0.3339,0.0045,-7.0846,1.8440,"10:30 ET"
50.03,49.70,16.42%,0.6394,0.0045,-8.2465,1.8974,"10:31 ET","6,820.00",19.20,19.20,15.66%,-0.3554,0.0047,-7.1578,1.8876,"10:30 ET"
47.20,46.25,16.24%,0.6177,0.0046,-8.2955,1.9334,"10:28 ET","6,825.00",19.90,20.70,15.47%,-0.3780,0.0049,-7.2065,1.9264,"10:28 ET"
43.46,42.85,16.04%,0.5954,0.0048,-8.3056,1.9640,"10:27 ET","6,830.00",22.50,22.50,15.38%,-0.4020,0.0050,-7.2806,1.9605,"10:31 ET"
42.00,39.65,15.89%,0.5720,0.0049,-8.3127,1.9891,"10:29 ET","6,835.00",23.00,24.10,15.13%,-0.4261,0.0051,-7.2450,1.9868,"10:28 ET"
38.50,36.50,15.70%,0.5480,0.0050,-8.2748,2.0075,"10:29 ET","6,840.00",25.60,26.00,14.98%,-0.4514,0.0052,-7.2257,2.0066,"10:24 ET"
33.30,33.50,15.53%,0.5232,0.0051,-8.2145,2.0187,"10:31 ET","6,845.00",28.50,28.00,14.81%,-0.4775,0.0053,-7.1684,2.0184,"10:31 ET"
30.60,30.60,15.35%,0.4978,0.0051,-8.1168,2.0221,"10:32 ET","6,850.00",30.40,30.10,14.62%,-0.5043,0.0054,-7.0708,2.0214,"10:32 ET"
27.85,27.85,15.18%,0.4718,0.0052,-7.9919,2.0170,"10:32 ET","6,855.00",29.10,32.40,14.47%,-0.5318,0.0055,-6.9565,2.0146,"10:29 ET"
25.05,25.35,15.06%,0.4456,0.0052,-7.8638,2.0033,"10:31 ET","6,860.00",33.58,34.85,14.32%,-0.5597,0.0055,-6.8094,1.9980,"10:28 ET"
23.52,22.90,14.91%,0.4190,0.0052,-7.6812,1.9803,"10:30 ET","6,865.00",37.50,37.50,14.20%,-0.5875,0.0054,-6.6418,1.9719,"10:32 ET"
21.40,20.55,14.73%,0.3922,0.0051,-7.4554,1.9477,"10:30 ET","6,870.00",40.20,40.20,14.03%,-0.6159,0.0054,-6.4154,1.9345,"10:32 ET"
18.30,18.30,14.53%,0.3650,0.0051,-7.1856,1.9051,"10:31 ET","6,875.00",43.50,42.85,13.76%,-0.6453,0.0054,-6.0978,1.8848,"10:31 ET"
16.80,16.45,14.48%,0.3393,0.0050,-6.9603,1.8557,"10:31 ET","6,880.00",45.50,45.90,13.61%,-0.6737,0.0053,-5.8183,1.8252,"10:25 ET"
15.40,14.60,14.35%,0.3132,0.0049,-6.6677,1.7962,"10:29 ET","6,885.00",47.00,49.05,13.44%,-0.7019,0.0051,-5.4934,1.7551,"10:29 ET"
13.37,12.90,14.22%,0.2877,0.0047,-6.3540,1.7286,"10:28 ET","6,890.00",51.00,52.35,13.27%,-0.7300,0.0050,-5.1409,1.6729,"10:20 ET"
12.10,11.30,14.08%,0.2626,0.0046,-6.0058,1.6524,"10:31 ET","6,895.00",54.00,55.80,13.10%,-0.7573,0.0048,-4.7648,1.5816,"10:15 ET"
9.78,9.90,13.98%,0.2388,0.0044,-5.6635,1.5714,"10:31 ET","6,900.00",60.00,59.40,12.92%,-0.7838,0.0048,-4.3689,1.4813,"10:32 ET"
9.70,8.60,13.86%,0.2157,0.0042,-5.2967,1.4837,"10:29 ET","6,905.00",58.71,63.10,12.71%,-0.8100,0.0043,-3.9385,1.3704,"09:49 ET"
7.80,7.40,13.73%,0.1933,0.0039,-4.9089,1.3899,"10:31 ET","6,910.00",66.00,66.00,11.72%,-0.8527,0.0040,-3.0003,1.1580,"10:15 ET"
6.70,6.40,13.65%,0.1730,0.0037,-4.5528,1.2973,"10:31 ET","6,915.00",69.06,70.90,12.25%,-0.8607,0.0037,-3.0242,1.1158,11/11/25
5.50,5.50,13.58%,0.1540,0.0034,-4.1929,1.2026,"10:31 ET","6,920.00",94.97,75.10,12.10%,-0.8810,0.0033,-2.6298,1.0003,11/11/25
4.79,4.79,13.58%,0.1377,0.0032,-3.8867,1.1153,"10:31 ET","6,925.00",98.51,79.30,11.81%,-0.9040,0.0037,-2.1475,0.8524,11/10/25
4.00,4.00,13.43%,0.1199,0.0029,-3.4900,1.0133,"10:31 ET","6,930.00",78.71,83.60,11.44%,-0.9259,0.0025,-1.6604,0.7002,"09:49 ET"
3.70,3.40,13.39%,0.1052,0.0027,-3.1638,0.9227,"10:28 ET","6,935.00",117.50,88.00,10.96%,-0.9486,0.0023,-1.1337,0.5201,11/11/25
2.90,2.90,13.37%,0.0922,0.0024,-2.8678,0.8382,"10:31 ET","6,940.00",71.55,92.50,10.15%,-0.9763,0.0026,-0.4899,0.2588,"07:22 ET"
2.60,2.40,13.27%,0.0792,0.0022,-2.5370,0.7477,"10:28 ET","6,945.00",75.85,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,"07:22 ET"
"Downloaded from Barchart.com as of 11-12-2025 09:59am CST"
